RandSelect,1375,1
MedianOfMedians,1167,1
Naive,708,1
RandSelect,2833,10
MedianOfMedians,3084,10
Naive,500,10
RandSelect,1542,100
MedianOfMedians,4208,100
Naive,2459,100
RandSelect,9292,1000
MedianOfMedians,30833,1000
Naive,23542,1000
RandSelect,66750,10000
MedianOfMedians,276500,10000
Naive,315625,10000
RandSelect,724792,100000
MedianOfMedians,2579250,100000
Naive,3838209,100000
RandSelect,7233916,1000000
MedianOfMedians,23621125,1000000
Naive,47236625,1000000
RandSelect,61631625,10000000
MedianOfMedians,232675208,10000000
Naive,548867208,10000000
